Incident_ID,Incident_Date,State,City Or County,Address,Latitude,Longitude,Killed,Injured,Operations,label_col
615005,07/28/16,Ohio,Cleveland,3300 block of Seymour Avenue,41.4727812,-81.7052151,0,1,N/A,Killed: 0 Injured:1
616008,07/28/16,Missouri,Kansas City,2500 block of Independence Ave,39.106583,-94.5523087,1,1,N/A,Killed: 1 Injured:1
615663,07/28/16,Texas,Alvin,4000 block of East Texas 6,29.3320086,-94.9527995,0,1,N/A,Killed: 0 Injured:1
614374,07/27/16,Florida,Fort Lauderdale (Dania Beach),W Dania Beach Blvd and SW 8th Ave,26.0521524,-80.1495704,2,1,N/A,Killed: 2 Injured:1
615133,07/27/16,Florida,Gainesville,820 Northwest 4th Place,29.6552671,-82.333585,1,2,N/A,Killed: 1 Injured:2
632513,07/27/16,Virginia,Fairfax,Fairfax Hunt Road,38.8070446,-77.3686138,2,0,N/A,Killed: 2 Injured:0
614521,07/26/16,Texas,Waco,1700 block of Dallas St.,31.5764294,-97.1385013,0,2,N/A,Killed: 0 Injured:2
614104,07/26/16,California,Sacramento,Fruitridge Road and Lawrence Drive,38.5249446,-121.4503346,0,1,N/A,Killed: 0 Injured:1
613903,07/26/16,Utah,Salt Lake City,561 N. Center Street,40.7814461,-111.8961236,2,0,N/A,Killed: 2 Injured:0
613826,07/26/16,Texas,Houston,9700 block of Shady Tree Ln,29.9217635,-95.50344,1,0,N/A,Killed: 1 Injured:0
614133,07/26/16,Ohio,Cleveland,Kirton Avenue and West 130th Street,41.428296,-81.780106,1,0,N/A,Killed: 1 Injured:0
613714,07/25/16,New York,Dunkirk,544 South Roberts Road,42.484478,-79.314808,0,1,N/A,Killed: 0 Injured:1
614475,07/25/16,Wisconsin,Kimberly,Arthur Court and West Third Street,44.267384,-88.341209,0,0,N/A,Killed: 0 Injured:0
611188,07/24/16,Mississippi,Meridian,107 71st Pl,32.3551374,-88.751325,0,1,N/A,Killed: 0 Injured:1
611168,07/23/16,Michigan,Muskegon (Muskegon Heights),2500 block of Reynolds Street,43.2066617,-86.238139,0,1,N/A,Killed: 0 Injured:1
610228,07/23/16,Florida,Miami,3600 block of Northwest Second Street,25.7737484,-80.2535856,2,1,N/A,Killed: 2 Injured:1
610379,07/23/16,Texas,Bastrop,202 Childers Drive,30.1030319,-97.3290616,4,1,N/A,Killed: 4 Injured:1
609930,07/22/16,California,Fresno,East Saginaw Way and North Thorne Avenue,36.7877915,-119.8130068,0,1,N/A,Killed: 0 Injured:1
609685,07/22/16,Indiana,Indianapolis,3400 block of Admar Court,39.8433102,-86.107654,3,0,N/A,Killed: 3 Injured:0
609669,07/20/16,Georgia,Macon,113 Horseshoe Bend,32.9271537,-83.6714317,1,0,N/A,Killed: 1 Injured:0
608559,07/20/16,Texas,Texas City,N/A,29.383845,-94.9027002,0,1,N/A,Killed: 0 Injured:1
606981,07/19/16,Illinois,Chicago (Englewood),6000 block of South Paulina Road,41.784739,-87.6670326,0,1,N/A,Killed: 0 Injured:1
606175,07/18/16,South Carolina,Gaston,2400 block of Glenn Road,33.8756153,-81.1076477,1,0,N/A,Killed: 1 Injured:0
607118,07/18/16,Tennessee,Memphis,800 block of Crockett Street,35.1495343,-90.0489801,0,2,N/A,Killed: 0 Injured:2
