Incident ID,Incident Date,State,City Or County,Address,Full Address,Latitude,Longitude,Killed,Injured,Operations,label_col,Classification
544233,20-Apr-16,Missouri,Saint Louis (Clayton),Forsyth Blvd,Missouri Saint Louis (Clayton) Forsyth Blvd,38.6484649,-90.3267276,0,1,School Incidents,Killed: 0 Injured:1,School_University/college
542376,16-Apr-16,Alabama,Tuskegee,N/A,Alabama Tuskegee N/A,32.417007,-85.7176993,0,2,School Incidents,Killed: 0 Injured:2,School_University/college
540711,13-Apr-16,Florida,West Palm Beach,2200 Pinehurst Drive,Florida West Palm Beach 2200 Pinehurst Drive,26.7545857,-80.0878566,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
531934,30-Mar-16,Louisiana,New Orleans,7000 block of Press Drive,Louisiana New Orleans 7000 block of Press Drive,30.0332814,-90.0446569,0,1,School Incidents,Killed: 0 Injured:1,School_University/college
532018,30-Mar-16,Kansas,Kansas City,2300 Minnesota Avenue,Kansas Kansas City 2300 Minnesota Avenue,39.1160126,-94.6554486,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
531001,29-Mar-16,Massachusetts,Holyoke,Suffolk and Oak Street,Massachusetts Holyoke Suffolk and Oak Street,42.209362,-72.6148815,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
527425,23-Mar-16,North Carolina,Charlotte,100 block of Beatties Ford Road,North Carolina Charlotte 100 block of Beatties Ford Road,35.2423707,-80.8559996,0,1,School Incidents,Killed: 0 Injured:1,School_University/college
526659,22-Mar-16,Florida,Tallahassee,8037 Deer Lake East,Florida Tallahassee 8037 Deer Lake East,30.5838448,-84.2262329,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
526935,21-Mar-16,Georgia,Atlanta,Piedmont Avenue and Ellis Street,Georgia Atlanta Piedmont Avenue and Ellis Street,33.7583746,-84.3822291,0,2,School Incidents,Killed: 0 Injured:2,School_University/college
526307,21-Mar-16,Florida,Fort Myers,Heiman Avenue and Corning Court,Florida Fort Myers Heiman Avenue and Corning Court,26.6463288,-81.8093058,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
